id	DSS	day	bwc	vwr
SvBi029	1	0	100	79.3
SvBi029	1	1	103.5	125.4
SvBi029	1	2	102.6	95.8
SvBi029	1	3	100.9	57.1
SvBi029	1	4	101.3	69.7
SvBi029	1	5	99.6	47.5
SvBi029	1	6	90.9	33.8
SvBi029	1	7	86.5	7.5
SvBi029	1	8	80	5.9
SvBi029	1	9	82.6	11.8
SvBi029	1	10	90.4	18.6
SvBi029	1	11	96.1	35
SvBi029	1	12	102.6	58.6
SvBi029	1	13	100.4	97.2
SvBi030	0	0	100	87.4
SvBi030	0	1	101	92.5
SvBi030	0	2	100.5	85.4
SvBi030	0	3	100	94
SvBi030	0	4	101.5	90.5
SvBi030	0	5	101	23.5
SvBi030	0	6	99.5	55.6
SvBi030	0	7	99.5	79.4
SvBi030	0	8	104.6	91
SvBi030	0	9	103.6	80.8
SvBi030	0	10	102.6	80.8
SvBi030	0	11	105.6	88.6
SvBi030	0	12	106.7	95.1
SvBi030	0	13	107.7	116.3
SvBi031	0	0	100	106.6
SvBi031	0	1	98.6	102.2
SvBi031	0	2	99.5	88.8
SvBi031	0	3	98.6	110
SvBi031	0	4	101.4	119.3
SvBi031	0	5	100.9	81.7
SvBi031	0	6	98.1	102.6
SvBi031	0	7	98.1	117.7
SvBi031	0	8	98.1	101.9
SvBi031	0	9	98.1	100.9
SvBi031	0	10	98.1	99.7
SvBi031	0	11	98.6	104
SvBi031	0	12	97.7	111.5
SvBi031	0	13	101.4	119.2
SvBi035	1	0	100	81.2
SvBi035	1	1	101	93.2
SvBi035	1	2	102.4	83.8
SvBi035	1	3	101.9	96.4
SvBi035	1	4	101.9	91.1
SvBi035	1	5	100	45.8
SvBi035	1	6	94.2	51.8
SvBi035	1	7	90.4	35.5
SvBi035	1	8	88	40.2
SvBi035	1	9	97.6	55.4
SvBi035	1	10	104.8	67.3
SvBi035	1	11	106.3	90
SvBi035	1	12	104.8	77.3
SvBi035	1	13	105.3	87.8
SvBi037	0	0	100	72.3
SvBi037	0	1	98.5	95.3
SvBi037	0	2	97.1	98.4
SvBi037	0	3	98.5	96.9
SvBi037	0	4	96.6	96.3
SvBi037	0	5	97.6	67
SvBi037	0	6	100	89.1
SvBi037	0	7	99	88.7
SvBi037	0	8	99.5	94.6
SvBi037	0	9	98.1	85
SvBi037	0	10	100	88.4
SvBi037	0	11	97.6	85.7
SvBi037	0	12	96.6	91.2
SvBi037	0	13	100.5	82.2
SvBi047	0	0	100	76.7
SvBi047	0	1	98.2	77.7
SvBi047	0	2	99.1	87.8
SvBi047	0	3	99.1	76.8
SvBi047	0	4	97.2	68.2
SvBi047	0	5	100	50.8
SvBi047	0	6	100.5	64.8
SvBi047	0	7	102.3	69.7
SvBi047	0	8	100.9	91.7
SvBi047	0	9	99.1	79.9
SvBi047	0	10	99.1	81.6
SvBi047	0	11	99.5	84.6
SvBi047	0	12	101.4	74.7
SvBi047	0	13	103.2	101.1
SvBi048	0	0	100	103
SvBi048	0	1	95.8	104.4
SvBi048	0	2	94.9	122.3
SvBi048	0	3	95.3	104.1
SvBi048	0	4	94.4	100.1
SvBi048	0	5	95.8	66.8
SvBi048	0	6	93	104.7
SvBi048	0	7	94.4	75.7
SvBi048	0	8	95.3	143.8
SvBi048	0	9	94.4	106.9
SvBi048	0	10	96.7	103.2
SvBi048	0	11	95.8	115.5
SvBi048	0	12	96.3	117.2
SvBi048	0	13	97.7	107.5
SvBi050	1	0	100	134.2
SvBi050	1	1	99.1	106.9
SvBi050	1	2	99.5	96.5
SvBi050	1	3	99.1	102
SvBi050	1	4	99.1	87.1
SvBi050	1	5	99.5	45.1
SvBi050	1	6	92.6	36.8
SvBi050	1	7	87.1	29.3
SvBi050	1	8	86.2	23.5
SvBi050	1	9	90.8	52.4
SvBi050	1	10	95.4	76.7
SvBi050	1	11	99.1	80.3
SvBi050	1	12	100.5	104.4
SvBi050	1	13	101.4	74.7
SvBi051	0	0	100	74.7
SvBi051	0	1	97.7	88.5
SvBi051	0	2	95.3	108.5
SvBi051	0	3	95.3	109.6
SvBi051	0	4	93.9	140.5
SvBi051	0	5	95.3	77.1
SvBi051	0	6	95.3	93.8
SvBi051	0	7	96.7	90.6
SvBi051	0	8	98.1	110
SvBi051	0	9	98.6	119.9
SvBi051	0	10	96.3	120.6
SvBi051	0	11	94.4	126.6
SvBi051	0	12	95.3	121.2
SvBi051	0	13	95.3	123.4
SvBi052	0	0	100	49.9
SvBi052	0	1	96.8	65.9
SvBi052	0	2	95.4	76.5
SvBi052	0	3	97.3	100.4
SvBi052	0	4	94.5	66.1
SvBi052	0	5	94.5	36
SvBi052	0	6	93.2	44.5
SvBi052	0	7	94.5	41.2
SvBi052	0	8	97.3	35.4
SvBi052	0	9	97.3	36.7
SvBi052	0	10	98.2	41
SvBi052	0	11	97.3	44.3
SvBi052	0	12	98.6	49.8
SvBi052	0	13	99.1	102.1
SvBi054	1	0	100	97.8
SvBi054	1	1	98.6	98.5
SvBi054	1	2	99.5	88.2
SvBi054	1	3	99	92.8
SvBi054	1	4	99	119.3
SvBi054	1	5	101.9	61.8
SvBi054	1	6	99.5	62.6
SvBi054	1	7	92.8	62.7
SvBi054	1	8	97.6	80
SvBi054	1	9	102.9	118.7
SvBi054	1	10	102.4	77.3
SvBi054	1	11	101.4	89
SvBi054	1	12	103.3	93.3
SvBi054	1	13	103.3	102.9
SvBi055	0	0	100	92.9
SvBi055	0	1	99.1	78.7
SvBi055	0	2	98.2	120
SvBi055	0	3	97.3	96
SvBi055	0	4	96.8	87.9
SvBi055	0	5	99.5	47.3
